Chromosome	Start	End	NA	Strand
CLCNKB	chr1	16040252	16057311	NA	+
FAM131C	chr1	16057769	16073651	NA	-
EPHA2	chr1	16124337	16156069	NA	-
ARHGEF19	chr1	16197854	16212652	NA	-
FBXO42	chr1	16246840	16352480	NA	-
SZRD1	chr1	16352575	16398145	NA	+
SPATA21	chr1	16387117	16437424	NA	-
NECAP2	chr1	16440721	16460078	NA	+
NBPF1	chr1	16562319	16613562	NA	-
CROCC	chr1	16740273	16972964	NA	+
MFAP2	chr1	16974502	16980632	NA	-
ATP13A2	chr1	16985958	17011928	NA	-
SDHB	chr1	17018722	17054032	NA	-
PADI2	chr1	17066761	17119451	NA	-
PADI3	chr1	17249098	17284233	NA	+
RCC2	chr1	17406760	17439677	NA	-
ARHGEF10L	chr1	17539698	17697874	NA	+
KLHDC7A	chr1	18480930	18485974	NA	+
ALDH4A1	chr1	18871430	18902724	NA	-
IFFO2	chr1	18904280	18956676	NA	-
UBR4	chr1	19074510	19210266	NA	-
EMC1	chr1	19215660	19251527	NA	-
MRTO4	chr1	19251805	19260128	NA	+
AKR7A2	chr1	19303965	19312144	NA	-
CAPZB	chr1	19338775	19485539	NA	-
NBL1	chr1	19596979	19658456	NA	+
TMCO4	chr1	19682240	19799945	NA	-
OTUD3	chr1	19882395	19912945	NA	+
CAMK2N1	chr1	20482391	20486210	NA	-
MUL1	chr1	20499448	20508151	NA	-
CDA	chr1	20589086	20618903	NA	+
PINK1	chr1	20633458	20651511	NA	+
DDOST	chr1	20651767	20661544	NA	-
KIF17	chr1	20664014	20718017	NA	-
SH2D5	chr1	20719731	20732837	NA	-
HP1BP3	chr1	20740266	20787323	NA	-
EIF4G3	chr1	20806292	21176888	NA	-
ECE1	chr1	21217247	21345572	NA	-
NBPF3	chr1	21440128	21485005	NA	+
RAP1GAP	chr1	21596215	21669363	NA	-
USP48	chr1	21678298	21783606	NA	-
LDLRAD2	chr1	21812265	21825225	NA	+
HSPG2	chr1	21822244	21937310	NA	-
CDC42	chr1	22025511	22101360	NA	+
WNT4	chr1	22117313	22143969	NA	-
ZBTB40	chr1	22428838	22531157	NA	+
EPHB2	chr1	22710839	22921500	NA	+
KDM1A	chr1	23019443	23083689	NA	+
LUZP1	chr1	23084023	23177808	NA	-
HTR1D	chr1	23191895	23217502	NA	-
HNRNPR	chr1	23303771	23344336	NA	-
ZNF436	chr1	23359448	23369836	NA	-
TCEA3	chr1	23380909	23424748	NA	-
ASAP3	chr1	23428563	23484568	NA	-
E2F2	chr1	23506438	23531233	NA	-
ID3	chr1	23557926	23559501	NA	-
RPL11	chr1	23691742	23696835	NA	+
ELOA	chr1	23743155	23762059	NA	+
PITHD1	chr1	23778418	23788232	NA	+
LYPLA2	chr1	23791145	23795539	NA	+
GALE	chr1	23795599	23800781	NA	-
HMGCL	chr1	23801885	23838620	NA	-
FUCA1	chr1	23845077	23868290	NA	-
PNRC2	chr1	23956839	23963462	NA	+
SRSF10	chr1	23964347	23980927	NA	-
MYOM3	chr1	24056035	24112135	NA	-
IL22RA1	chr1	24119771	24143140	NA	-
IFNLR1	chr1	24154168	24187959	NA	-
GRHL3	chr1	24319357	24364482	NA	+
STPG1	chr1	24356999	24416934	NA	-
NIPAL3	chr1	24415802	24472976	NA	+
RCAN3	chr1	24502351	24541040	NA	+
NCMAP	chr1	24556087	24609328	NA	+
SRRM1	chr1	24631716	24673281	NA	+
CLIC4	chr1	24745382	24844321	NA	+
RUNX3	chr1	24899511	24965121	NA	-
SYF2	chr1	25222276	25232502	NA	-
RSRP1	chr1	25242249	25338213	NA	-
TMEM50A	chr1	25338317	25362361	NA	+
RHCE	chr1	25362249	25430192	NA	-
MACO1	chr1	25430858	25500209	NA	+
LDLRAP1	chr1	25543606	25568886	NA	+
MAN1C1	chr1	25616791	25786206	NA	+
SELENON	chr1	25800193	25818221	NA	+
MTFR1L	chr1	25818640	25832942	NA	+
AUNIP	chr1	25831913	25859458	NA	-
PAQR7	chr1	25861484	25875708	NA	-
STMN1	chr1	25884181	25906991	NA	-
PAFAH2	chr1	25959767	25998117	NA	-
PDIK1L	chr1	26111165	26125555	NA	+
ZNF593	chr1	26169908	26170873	NA	+
CNKSR1	chr1	26177484	26189884	NA	+
CEP85	chr1	26234200	26278808	NA	+
SH3BGRL3	chr1	26280086	26281522	NA	+
UBXN11	chr1	26281328	26318363	NA	-
CRYBG2	chr1	26321698	26360080	NA	-
DHDDS	chr1	26432282	26471306	NA	+
HMGN2	chr1	26472440	26476642	NA	+
RPS6KA1	chr1	26529761	26575030	NA	+
ARID1A	chr1	26693236	26782104	NA	+
PIGV	chr1	26787054	26800659	NA	+
ZDHHC18	chr1	26826688	26857604	NA	+
SFN	chr1	26863149	26864456	NA	+
GPN2	chr1	26876132	26890283	NA	-
GPATCH3	chr1	26890488	26900467	NA	-
NUDC	chr1	26900238	26946871	NA	+
KDF1	chr1	26949562	26960468	NA	-
TRNP1	chr1	26993692	27000886	NA	+
SLC9A1	chr1	27098809	27166981	NA	-
WDTC1	chr1	27234632	27308636	NA	+
TMEM222	chr1	27322145	27336400	NA	+
SYTL1	chr1	27342020	27353937	NA	+
MAP3K6	chr1	27354067	27366961	NA	-
CD164L2	chr1	27379176	27383333	NA	-
GPR3	chr1	27392622	27395814	NA	+
WASF2	chr1	27404230	27490167	NA	-
AHDC1	chr1	27534035	27604431	NA	-
IFI6	chr1	27666064	27672212	NA	-
FAM76A	chr1	27725961	27763116	NA	+
STX12	chr1	27773219	27824443	NA	+
PPP1R8	chr1	27830782	27851676	NA	+
THEMIS2	chr1	27872543	27886685	NA	+
RPA2	chr1	27891524	27914746	NA	-
SMPDL3B	chr1	27935000	27959157	NA	+
XKR8	chr1	27959588	27968093	NA	+
EYA3	chr1	27970344	28088637	NA	-
PTAFR	chr1	28147166	28193936	NA	-
DNAJC8	chr1	28199456	28233029	NA	-
ATP5IF1	chr1	28236109	28246906	NA	+
SESN2	chr1	28259518	28282491	NA	+
MED18	chr1	28329002	28335965	NA	+
PHACTR4	chr1	28369582	28500364	NA	+
RCC1	chr1	28505943	28539300	NA	+
TRNAU1AP	chr1	28553085	28578545	NA	+
TAF12	chr1	28589323	28643085	NA	-
GMEB1	chr1	28668778	28719353	NA	+
YTHDF2	chr1	28736621	28769775	NA	+
EPB41	chr1	28887091	29120046	NA	+
TMEM200B	chr1	29119429	29123903	NA	-
SRSF4	chr1	29147743	29181900	NA	-
MECR	chr1	29192657	29230942	NA	-
PTPRU	chr1	29236516	29326813	NA	+
SDC3	chr1	30869466	30908758	NA	-
PUM1	chr1	30931506	31065991	NA	-
NKAIN1	chr1	31179745	31239887	NA	-
SNRNP40	chr1	31259568	31296788	NA	-
ZCCHC17	chr1	31296982	31364953	NA	+
FABP3	chr1	31365253	31376850	NA	-
SERINC2	chr1	31409565	31434680	NA	+
TINAGL1	chr1	31576485	31587686	NA	+
HCRTR1	chr1	31617686	31632518	NA	+
PEF1	chr1	31629866	31644896	NA	-
COL16A1	chr1	31652263	31704319	NA	-
ADGRB2	chr1	31727117	31764893	NA	-
SPOCD1	chr1	31790422	31816051	NA	-
PTP4A2	chr1	31906421	31944856	NA	-
KHDRBS1	chr1	32013868	32060850	NA	+
TMEM39B	chr1	32072031	32102866	NA	+
KPNA6	chr1	32108056	32176563	NA	+
TXLNA	chr1	32179675	32198285	NA	+
CCDC28B	chr1	32200595	32205453	NA	+
IQCC	chr1	32205671	32208682	NA	+
DCDC2B	chr1	32209089	32216192	NA	+
TMEM234	chr1	32214472	32222359	NA	-
EIF3I	chr1	32221077	32245397	NA	+
HDAC1	chr1	32292083	32333635	NA	+
MARCKSL1	chr1	32333839	32336233	NA	-
TSSK3	chr1	32351521	32364312	NA	+
FAM229A	chr1	32361270	32364278	NA	-
BSDC1	chr1	32364633	32394731	NA	-
ZBTB8B	chr1	32465072	32496686	NA	+
ZBTB8A	chr1	32539427	32605941	NA	+
ZBTB8OS	chr1	32600172	32650903	NA	-
RBBP4	chr1	32651142	32686211	NA	+
SYNC	chr1	32679906	32703596	NA	-
KIAA1522	chr1	32741830	32774970	NA	+
S100PBP	chr1	32816767	32858875	NA	+
HPCA	chr1	32885994	32898441	NA	+
TMEM54	chr1	32894594	32901438	NA	-
RNF19B	chr1	32936445	32964809	NA	-
AK2	chr1	33007940	33080996	NA	-
AZIN2	chr1	33081104	33123492	NA	+
TRIM62	chr1	33145399	33182059	NA	-
ZNF362	chr1	33256492	33300719	NA	+
PHC2	chr1	33323623	33431095	NA	-
ZSCAN20	chr1	33472645	33501643	NA	+
SMIM12	chr1	34712737	34859755	NA	-
GJB5	chr1	34755047	34758512	NA	+
GJB4	chr1	34759740	34762327	NA	+
GJB3	chr1	34781214	34786369	NA	+
TMEM35B	chr1	34981535	34985353	NA	-
ZMYM6	chr1	34986165	35031945	NA	-
ZMYM1	chr1	35032172	35115859	NA	+
SFPQ	chr1	35176378	35193145	NA	-
ZMYM4	chr1	35268709	35422058	NA	+
KIAA0319L	chr1	35433492	35557950	NA	-
NCDN	chr1	35557473	35567274	NA	+
TFAP2E	chr1	35573314	35595328	NA	+
PSMB2	chr1	35599541	35641526	NA	-
C1orf216	chr1	35713877	35718894	NA	-
CLSPN	chr1	35720218	35769978	NA	-
AGO4	chr1	35808016	35857890	NA	+
AGO1	chr1	35869808	35930532	NA	+
AGO3	chr1	35930718	36072500	NA	+
TRAPPC3	chr1	36136570	36156053	NA	-
MAP7D1	chr1	36155579	36180849	NA	+
THRAP3	chr1	36224432	36305357	NA	+
SH3D21	chr1	36306368	36329340	NA	+
EVA1B	chr1	36322030	36324154	NA	-
STK40	chr1	36339624	36385924	NA	-
LSM10	chr1	36391238	36397908	NA	-
OSCP1	chr1	36415827	36450451	NA	-
MRPS15	chr1	36455718	36464384	NA	-
ZC3H12A	chr1	37474580	37484377	NA	+
MEAF6	chr1	37489993	37514766	NA	-
SNIP1	chr1	37534449	37554293	NA	-
DNALI1	chr1	37556919	37566857	NA	+
GNL2	chr1	37566816	37595937	NA	-
C1orf109	chr1	37681570	37692249	NA	-
CDCA8	chr1	37692481	37709719	NA	+
EPHA10	chr1	37713880	37765133	NA	-
MANEAL	chr1	37793847	37801137	NA	+
YRDC	chr1	37802945	37808208	NA	-
C1orf122	chr1	37806979	37809454	NA	+
MTF1	chr1	37809574	37859592	NA	-
INPP5B	chr1	37860697	37947057	NA	-
SF3A3	chr1	37956975	37990075	NA	-
FHL3	chr1	37996770	38005606	NA	-
UTP11	chr1	38009258	38024820	NA	+
RRAGC	chr1	38838198	38859772	NA	-
MYCBP	chr1	38862493	38873368	NA	-
AKIRIN1	chr1	38991276	39006059	NA	+
NDUFS5	chr1	39026318	39034636	NA	+
MACF1	chr1	39081316	39487177	NA	+
BMP8A	chr1	39491636	39529869	NA	+
PABPC4	chr1	39560709	39576790	NA	-
HEYL	chr1	39623435	39639643	NA	-
HPCAL4	chr1	39678648	39691485	NA	-
PPIE	chr1	39692182	39763914	NA	+
BMP8B	chr1	39757182	39788865	NA	-
OXCT2	chr1	39769523	39771348	NA	-
TRIT1	chr1	39838110	39883511	NA	-
MYCL	chr1	39895426	39902256	NA	-
MFSD2A	chr1	39955112	39969968	NA	+
CAP1	chr1	40040233	40072649	NA	+
PPT1	chr1	40072710	40097260	NA	-
RLF	chr1	40161387	40240921	NA	+
ZMPSTE24	chr1	40258041	40294180	NA	+
COL9A2	chr1	40300489	40317813	NA	-
SMAP2	chr1	40344850	40423326	NA	+
ZNF684	chr1	40531573	40548167	NA	+
RIMS3	chr1	40620680	40665682	NA	-
NFYC	chr1	40691648	40771603	NA	+
KCNQ4	chr1	40783787	40840452	NA	+
CITED4	chr1	40861054	40862363	NA	-
CTPS1	chr1	40979688	41012565	NA	+
SLFNL1	chr1	41015597	41023237	NA	-
SCMH1	chr1	41027200	41242154	NA	-
FOXO6	chr1	41361922	41383590	NA	+
HIVEP3	chr1	41506365	42035925	NA	-
FOXJ3	chr1	42176539	42335877	NA	-
RIMKLA	chr1	42380792	42424232	NA	+
PPCS	chr1	42456117	42473385	NA	+
CCDC30	chr1	42463221	42657190	NA	+
PPIH	chr1	42658335	42676758	NA	+
YBX1	chr1	42682418	42703805	NA	+
P3H1	chr1	42746335	42767084	NA	-
C1orf50	chr1	42767249	42779491	NA	+
TMEM269	chr1	42785007	42816619	NA	+
SVBP	chr1	42807052	42817397	NA	-
ERMAP	chr1	42817122	42844991	NA	+
ZNF691	chr1	42846573	42852477	NA	+
SLC2A1	chr1	42925353	42958893	NA	-
EBNA1BP2	chr1	43164175	43270936	NA	-
CFAP57	chr1	43172330	43254358	NA	+
TMEM125	chr1	43269983	43274002	NA	+
C1orf210	chr1	43281877	43285617	NA	-
CDC20	chr1	43358981	43363203	NA	+
ELOVL1	chr1	43363398	43368074	NA	-
MED8	chr1	43383917	43389808	NA	-
SZT2	chr1	43389882	43454247	NA	+
HYI	chr1	43450989	43453989	NA	-
PTPRF	chr1	43525187	43623666	NA	+
KDM4A	chr1	43650149	43705518	NA	+
ST3GAL3	chr1	43705824	43931165	NA	+
ARTN	chr1	43933320	43937240	NA	+
IPO13	chr1	43946950	43968022	NA	+
DPH2	chr1	43970000	43973369	NA	+
ATP6V0B	chr1	43974487	43978295	NA	+
B4GALT2	chr1	43978943	43991170	NA	+
CCDC24	chr1	43991359	43996528	NA	+
SLC6A9	chr1	43991500	44031467	NA	-
DMAP1	chr1	44213455	44220681	NA	+
ERI3	chr1	44221070	44355260	NA	-
RNF220	chr1	44405194	44651724	NA	+
TMEM53	chr1	44635238	44674481	NA	-
KIF2C	chr1	44739818	44767767	NA	+
RPS8	chr1	44775251	44778779	NA	+
PLK3	chr1	44800377	44805990	NA	+
BTBD19	chr1	44808482	44815585	NA	+
PTCH2	chr1	44819844	44843253	NA	-
EIF2B3	chr1	44850522	44986722	NA	-
HECTD3	chr1	45002540	45011324	NA	-
UROD	chr1	45010950	45015575	NA	+
ZSWIM5	chr1	45016399	45306209	NA	-
MUTYH	chr1	45329163	45340893	NA	-
TOE1	chr1	45340052	45343973	NA	+
TESK2	chr1	45343883	45491163	NA	-
CCDC163	chr1	45493866	45500079	NA	-
MMACHC	chr1	45500300	45513382	NA	+
PRDX1	chr1	45510914	45542732	NA	-
AKR1A1	chr1	45550543	45570049	NA	+
NASP	chr1	45583846	45618904	NA	+
CCDC17	chr1	45620044	45624057	NA	-
GPBP1L1	chr1	45627304	45688113	NA	-
TMEM69	chr1	45688181	45694436	NA	+
IPP	chr1	45694324	45750653	NA	-
MAST2	chr1	45786987	46036122	NA	+
PIK3R3	chr1	46040140	46133036	NA	-
TSPAN1	chr1	46175073	46185962	NA	+
POMGNT1	chr1	46188682	46220305	NA	-
RAD54L	chr1	46246461	46278480	NA	+
LRRC41	chr1	46261196	46303616	NA	-
UQCRH	chr1	46303698	46316776	NA	+
NSUN4	chr1	46340789	46365152	NA	+
FAAH	chr1	46394317	46413848	NA	+
DMBX1	chr1	46489836	46516216	NA	+
MKNK1	chr1	46557407	46616843	NA	-
MOB3C	chr1	46607715	46616884	NA	-
ATPAF1	chr1	46632737	46673867	NA	-
EFCAB14	chr1	46674659	46719146	NA	-
STIL	chr1	47250139	47314892	NA	-
CMPK1	chr1	47333790	47378839	NA	+
FOXD2	chr1	47438044	47440691	NA	+
SPATA6	chr1	48295373	48472208	NA	-
FAF1	chr1	50437028	50960267	NA	-
CDKN2C	chr1	50960745	50974634	NA	+
RNF11	chr1	51236273	51273447	NA	+
TTC39A	chr1	51287258	51345116	NA	-
EPS15	chr1	51354263	51519266	NA	-
OSBPL9	chr1	51577179	51798427	NA	+
NRDC	chr1	51789191	51878937	NA	-
RAB3B	chr1	51907956	51990700	NA	-
TXNDC12	chr1	52020131	52055191	NA	-
KTI12	chr1	52032103	52033810	NA	-
BTF3L4	chr1	52056199	52090716	NA	+
ZFYVE9	chr1	52142089	52348671	NA	+
CC2D1B	chr1	52345723	52366205	NA	-
ORC1	chr1	52372829	52404423	NA	-
PRPF38A	chr1	52404602	52420836	NA	+
COA7	chr1	52684449	52698347	NA	-
ZYG11B	chr1	52726453	52827336	NA	+
ECHDC2	chr1	52895910	52927212	NA	-
SCP2	chr1	52927276	53051698	NA	+
CPT2	chr1	53196792	53214197	NA	+
MAGOH	chr1	53226900	53238518	NA	-
LRP8	chr1	53242364	53328469	NA	-
NDC1	chr1	53765478	53838463	NA	-
YIPF1	chr1	53851719	53889798	NA	-
HSPB11	chr1	53916574	53945699	NA	-
LRRC42	chr1	53946085	53968168	NA	+
TMEM59	chr1	54026681	54053504	NA	-
TCEANC2	chr1	54053584	54112519	NA	+
CYB5RL	chr1	54169651	54200036	NA	-
MRPL37	chr1	54184041	54225464	NA	+
SSBP3	chr1	54225433	54413479	NA	-
ACOT11	chr1	54542257	54639192	NA	+
FAM151A	chr1	54609181	54623556	NA	-
MROH7	chr1	54641754	54710266	NA	+
MROH7-TTC4	chr1	54641786	54742308	NA	+
TTC4	chr1	54715861	54742657	NA	+
PARS2	chr1	54756898	54764523	NA	-
TTC22	chr1	54779712	54801323	NA	-
DHCR24	chr1	54849627	54887195	NA	-
TMEM61	chr1	54980628	54992288	NA	+
PCSK9	chr1	55039447	55064852	NA	+
USP24	chr1	55066359	55215364	NA	-
PLPP3	chr1	56494761	56645301	NA	-
PRKAA2	chr1	56645314	56715335	NA	+
DAB1	chr1	56994778	58546734	NA	-
OMA1	chr1	58415384	58546802	NA	-
TACSTD2	chr1	58575433	58577252	NA	-
MYSM1	chr1	58643440	58700077	NA	-
JUN	chr1	58776845	58784048	NA	-
FGGY	chr1	59296638	59810647	NA	+
HOOK1	chr1	59814786	59876322	NA	+
CYP2J2	chr1	59893308	59926773	NA	-
NFIA	chr1	60865259	61462788	NA	+
TM2D1	chr1	61681046	61725423	NA	-
PATJ	chr1	61742477	62178675	NA	+
USP1	chr1	62436297	62451804	NA	+
DOCK7	chr1	62454298	62688386	NA	-
ATG4C	chr1	62784132	62865516	NA	+
ALG6	chr1	63367575	63438553	NA	+
ITGB3BP	chr1	63440770	63593721	NA	-
EFCAB7	chr1	63523372	63572693	NA	+
PGM1	chr1	63593411	63660245	NA	+
ROR1	chr1	63774017	64181498	NA	+
CACHD1	chr1	64470129	64693058	NA	+
RAVER2	chr1	64745095	64833232	NA	+
JAK1	chr1	64833229	65067754	NA	-
AK4	chr1	65147549	65232145	NA	+
DNAJC6	chr1	65248219	65415871	NA	+
LEPROT	chr1	65420587	65436007	NA	+
LEPR	chr1	65420652	65641559	NA	+
PDE4B	chr1	65792514	66374579	NA	+
MIER1	chr1	66924895	66988619	NA	+
SLC35D1	chr1	66999350	67054148	NA	-
SERBP1	chr1	67407810	67430415	NA	-
GADD45A	chr1	67685201	67688334	NA	+
GNG12	chr1	67701475	67833467	NA	-
DIRAS3	chr1	68045886	68051631	NA	-
WLS	chr1	68098473	68233120	NA	-
RPE65	chr1	68428822	68449954	NA	-
DEPDC1	chr1	68474152	68497221	NA	-
LRRC40	chr1	70144805	70205579	NA	-
SRSF11	chr1	70205682	70253052	NA	+
ANKRD13C	chr1	70258999	70354734	NA	-
CTH	chr1	70411218	70439851	NA	+
ZRANB2	chr1	71063291	71081289	NA	-
FPGT-TNNI3K	chr1	74198235	74544393	NA	+
FPGT	chr1	74198238	74234086	NA	+
CRYZ	chr1	74705482	74733408	NA	-
TYW3	chr1	74733152	74766678	NA	+
SLC44A5	chr1	75202131	75611116	NA	-
ACADM	chr1	75724431	75787575	NA	+
RABGGTB	chr1	75786197	75795086	NA	+
MSH4	chr1	75796882	75913242	NA	+
ST6GALNAC3	chr1	76074746	76634603	NA	+
ST6GALNAC5	chr1	76867480	77067546	NA	+
PIGK	chr1	77088989	77219430	NA	-
USP33	chr1	77695987	77759852	NA	-
MIGA1	chr1	77779624	77879539	NA	+
NEXN	chr1	77888513	77943895	NA	+
FUBP1	chr1	77944055	77979110	NA	-
DNAJB4	chr1	77979175	78017964	NA	+
IFI44	chr1	78649796	78664078	NA	+
TTLL7	chr1	83865024	83999150	NA	-
PRKACB	chr1	84078062	84238498	NA	+
SAMD13	chr1	84298366	84389957	NA	+
RPF1	chr1	84479259	84498352	NA	+
GNG5	chr1	84498325	84506581	NA	-
SPATA1	chr1	84506300	84566194	NA	+
CTBS	chr1	84549611	84574480	NA	-
SSX2IP	chr1	84643706	84690803	NA	-
LPAR3	chr1	84811602	84893206	NA	-
MCOLN2	chr1	84925583	84997113	NA	-
MCOLN3	chr1	85018082	85048500	NA	-
SYDE2	chr1	85156889	85201016	NA	-
C1orf52	chr1	85249953	85259672	NA	-
BCL10	chr1	85265776	85276632	NA	-
DDAH1	chr1	85318481	85578363	NA	-
ZNHIT6	chr1	85649417	85708433	NA	-
ODF2L	chr1	86346824	86396342	NA	-
SH3GLB1	chr1	86704570	86748184	NA	+
SELENOF	chr1	86862445	86914424	NA	-
HS2ST1	chr1	86914635	87109982	NA	+
LMO4	chr1	87328880	87348923	NA	+
PKN2	chr1	88684222	88836255	NA	+
GTF2B	chr1	88852633	88891944	NA	-
KYAT3	chr1	88935773	88992953	NA	-
RBMXL1	chr1	88979456	88992960	NA	-
GBP3	chr1	89006679	89022894	NA	-
LRRC8B	chr1	89524829	89597861	NA	+
LRRC8C	chr1	89633072	89769903	NA	+
